"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At"
"spotify:track:2avaSeKHI5l4sLruVfLdi2","Burning Heart - From ""Rocky IV"" Soundtrack","spotify:artist:26bcq2nyj5GB7uRr558iQg","Survivor","spotify:album:3t3BbpFJiGcXl4jI5CRLLA","Rocky IV","1985","1","1","230720","false","65","spotify:user:sebastianelisapfeifer","2017-06-21T19:11:25Z"
"spotify:track:5u6Woby9oKAF8LhhuxykH1","Girl, You'll Be a Woman Soon","spotify:artist:5LEUigTSXpwrtERRcSW1N4","Urge Overkill","spotify:album:7rtF6RdFTI13m1Lvv2jInv","Stull","1992-06-10","1","1","189626","false","65","spotify:user:sebastianelisapfeifer","2017-07-03T06:02:43Z"
"spotify:track:70R2dNNLuQD4XR9eVyItNn","The Letter","spotify:artist:3KGQvnOoqUHi3KxKQMZtXr","The Box Tops","spotify:album:7G0BEsYy9kz4Xm2NIeSiyI","Pure... Psychedelic Rock","2013-03-22","4","1","113106","false","41","spotify:user:sebastianelisapfeifer","2017-07-03T19:23:11Z"
"spotify:track:0OQcEcs36ckWOB1nywhmBV","Hey Joe","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:719ELjvRzp0lHiLyAuAGj3","Are You Experienced","1967-05-12","1","12","210000","false","53","spotify:user:sebastianelisapfeifer","2017-07-03T19:26:38Z"
"spotify:track:4dlupPB3jYjgTuow5ayOkM","Perfect Strangers","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","spotify:album:1P6FLlvDvbYnSaewXI6VRf","Perfect Strangers","1984","1","5","328426","false","0","spotify:user:sebastianelisapfeifer","2017-07-05T12:18:06Z"
"spotify:track:7rSyrNH6IWMsjx2AaIF5No","Mistreated - Live","spotify:artist:6SLAMfhOi7UJI0fMztaK0m","Rainbow","spotify:album:75loMVnT9nOnx7YniYmTo3","Live In Munich 1977 (Live From Munich Olympiahalle, Germany, October 20th/1977)","2013-01-01","1","3","706013","false","0","spotify:user:sebastianelisapfeifer","2017-07-10T09:08:22Z"
"spotify:track:5UhIcPeLh8E8u4b4cpLJKh","Catch The Rainbow - Live","spotify:artist:6SLAMfhOi7UJI0fMztaK0m","Rainbow","spotify:album:75loMVnT9nOnx7YniYmTo3","Live In Munich 1977 (Live From Munich Olympiahalle, Germany, October 20th/1977)","2013-01-01","1","5","1095200","false","0","spotify:user:sebastianelisapfeifer","2017-07-10T09:08:22Z"
"spotify:track:7v488uxqr79E5cE2so378H","Killed By Death","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","spotify:album:3C4BUBKtD3O6HsSheKElzb","Festival Summer 2008 (SET)","2008-06-13","1","19","233133","false","0","spotify:user:sebastianelisapfeifer","2017-07-23T22:19:38Z"
"spotify:track:5qFxuUIAwJlzO60vqOiL7y","Rainbow In The Dark","spotify:artist:4CYeVo5iZbtYGBN4Isc3n6","Dio","spotify:album:1QJmLRcuIMMjZ49elafR3K","Holy Diver","1983","1","8","252693","false","66","spotify:user:sebastianelisapfeifer","2017-07-23T22:29:10Z"
"spotify:track:2Vim06YsRb4uJRpbeq6NR6","Hush - 1998 Remaster","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","spotify:album:5qxy4Qf0ug4rV9YVYGQRn2","Shades of Deep Purple","1968-07-01","1","2","266840","false","62","spotify:user:sebastianelisapfeifer","2017-07-23T22:31:24Z"
